CountryCode,Country,lat,long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
682,Saudi Arabia,23.885942,45.079162,92,92,92,93,93,94,94,95,96,96,97,97,98,99,99,100,100,100,100,100,100,100,100,100,100,100
686,Senegal,14.497401,-14.452362,36,36,37,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48
688,Serbia,44.016521,21.005859,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,96
690,Seychelles,-4.679574,55.491977,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
694,Sierra Leone,8.460555,-11.779889,10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13
702,Singapore,1.352083,103.819836,99,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
703,Slovakia,48.669026,19.699024,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
705,Slovenia,46.151241,14.995463,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
90,Solomon Islands,-9.64571,160.156194,,,,,,,,,,,26,26,26,26,27,27,27,27,28,28,28,29,29,29,30,30
706,Somalia,5.152149,46.199616,,,,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,24,,,,
710,South Africa,-30.559482,22.937506,51,52,52,52,53,54,55,55,56,57,57,58,59,59,60,60,61,62,62,63,64,64,65,65,66,66
728,South Sudan,4.51,31.36,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7
724,Spain,40.463667,-3.74922,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
144,Sri Lanka,7.873054,80.771797,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,88,89,90,91,92,93,94,95,95,95
275,State of Palestine,31.952162,35.233154,,87,87,87,87,87,87,88,88,88,89,89,89,90,90,90,91,91,91,91,92,92,92,92,92,92
729,Sudan,12.862807,30.217636,27,27,27,27,27,27,27,26,26,26,25,25,25,25,24,24,24,23,23,23,23,24,24,24,24,
740,Suriname,3.919305,-56.027783,,,,,81,81,81,81,81,81,81,81,81,81,81,80,80,80,80,80,80,79,79,79,79,79
748,Swaziland,-26.522503,31.465866,49,49,49,49,49,50,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,58,58
752,Sweden,60.128161,18.643501,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
756,Switzerland,46.818188,8.227512,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
760,Syrian Arab Republic,34.802075,38.996815,85,85,85,85,85,85,86,87,87,88,89,89,90,91,91,92,92,93,94,94,95,95,96,96,96,96
762,Tajikistan,38.861034,71.276093,,,,90,90,90,90,90,90,90,90,91,91,91,92,92,92,93,93,93,94,94,94,95,95,95
764,Thailand,15.870032,100.992541,87,87,88,88,89,89,90,90,91,91,91,92,92,93,93,93,94,94,94,93,93,93,93,93,93,93
807,The former Yugoslav Republic of Macedonia,41.608635,21.745275,,,,,,,,,,,90,90,90,90,90,90,90,90,91,91,91,91,91,91,91,91
